"Hierarchy Level","Page Type","Page Sub Type","Content Type","Friendly URL","Page ID","Page Title","Full URL","Taxonomy Level 1","Taxonomy Level 2","Taxonomy Level 3","Taxonomy Level 4","Taxonomy Level 5","Taxonomy Level 6","Taxonomy URL Level 1","Taxonomy URL Level 2","Taxonomy URL Level 3","Taxonomy URL Level 4","Taxonomy URL Level 5","Taxonomy URL Level 6",Homepage?,"Toggle URL"
4,federal_directory_record,,federal_directory_record,/agencies/office-of-special-education-and-rehabilitative-services,1137,"Office of Special Education and Rehabilitative Services (OSERS)",https://www.usa.gov/agencies/office-of-special-education-and-rehabilitative-services,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Office of Special Education and Rehabilitative Services","Office of Special Education and Rehabilitative Services","Office of Special Education and Rehabilitative Services",/,/about-the-us,/agency-index,/agencies/office-of-special-education-and-rehabilitative-services,/agencies/office-of-special-education-and-rehabilitative-services,/agencies/office-of-special-education-and-rehabilitative-services,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/office-of-special-counsel,1138,"Office of Special Counsel",https://www.usa.gov/agencies/office-of-special-counsel,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Office of Special Counsel","Office of Special Counsel","Office of Special Counsel",/,/about-the-us,/agency-index,/agencies/office-of-special-counsel,/agencies/office-of-special-counsel,/agencies/office-of-special-counsel,not_homepage,https://www.usa.gov/es/agencias/oficina-del-asesor-legal-especial-de-ee-uu
4,federal_directory_record,,federal_directory_record,/agencies/bureau-of-prisons,1140,"Bureau of Prisons (BOP)",https://www.usa.gov/agencies/bureau-of-prisons,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Bureau of Prisons","Bureau of Prisons","Bureau of Prisons",/,/about-the-us,/agency-index,/agencies/bureau-of-prisons,/agencies/bureau-of-prisons,/agencies/bureau-of-prisons,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/defense-finance-and-accounting-service-debt-and-claims-management-center,1142,"Defense Finance and Accounting Service Debt and Claims Management Center",https://www.usa.gov/agencies/defense-finance-and-accounting-service-debt-and-claims-management-center,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Defense Finance and Accounting Service Debt and Claims Management Center","Defense Finance and Accounting Service Debt and Claims Management Center","Defense Finance and Accounting Service Debt and Claims Management Center",/,/about-the-us,/agency-index,/agencies/defense-finance-and-accounting-service-debt-and-claims-management-center,/agencies/defense-finance-and-accounting-service-debt-and-claims-management-center,/agencies/defense-finance-and-accounting-service-debt-and-claims-management-center,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/u-s-commission-of-fine-arts,1141,"U.S. Commission of Fine Arts",https://www.usa.gov/agencies/u-s-commission-of-fine-arts,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","U.S. Commission of Fine Arts","U.S. Commission of Fine Arts","U.S. Commission of Fine Arts",/,/about-the-us,/agency-index,/agencies/u-s-commission-of-fine-arts,/agencies/u-s-commission-of-fine-arts,/agencies/u-s-commission-of-fine-arts,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/congressional-office-for-international-leadership,1145,"Congressional Office for International Leadership",https://www.usa.gov/agencies/congressional-office-for-international-leadership,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Congressional Office for International Leadership","Congressional Office for International Leadership","Congressional Office for International Leadership",/,/about-the-us,/agency-index,/agencies/congressional-office-for-international-leadership,/agencies/congressional-office-for-international-leadership,/agencies/congressional-office-for-international-leadership,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/office-of-career-technical-and-adult-education,1144,"Office of Career, Technical, and Adult Education",https://www.usa.gov/agencies/office-of-career-technical-and-adult-education,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Office of Career, Technical, and Adult Education","Office of Career, Technical, and Adult Education","Office of Career, Technical, and Adult Education",/,/about-the-us,/agency-index,/agencies/office-of-career-technical-and-adult-education,/agencies/office-of-career-technical-and-adult-education,/agencies/office-of-career-technical-and-adult-education,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/bureau-of-transportation-statistics,1147,"Bureau of Transportation Statistics",https://www.usa.gov/agencies/bureau-of-transportation-statistics,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Bureau of Transportation Statistics","Bureau of Transportation Statistics","Bureau of Transportation Statistics",/,/about-the-us,/agency-index,/agencies/bureau-of-transportation-statistics,/agencies/bureau-of-transportation-statistics,/agencies/bureau-of-transportation-statistics,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/defense-finance-and-accounting-service,1148,"Defense Finance and Accounting Service (DFAS)",https://www.usa.gov/agencies/defense-finance-and-accounting-service,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Defense Finance and Accounting Service","Defense Finance and Accounting Service","Defense Finance and Accounting Service",/,/about-the-us,/agency-index,/agencies/defense-finance-and-accounting-service,/agencies/defense-finance-and-accounting-service,/agencies/defense-finance-and-accounting-service,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/federal-student-aid-information-center,1149,"Federal Student Aid Information Center",https://www.usa.gov/agencies/federal-student-aid-information-center,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Federal Student Aid Information Center","Federal Student Aid Information Center","Federal Student Aid Information Center",/,/about-the-us,/agency-index,/agencies/federal-student-aid-information-center,/agencies/federal-student-aid-information-center,/agencies/federal-student-aid-information-center,not_homepage,https://www.usa.gov/es/agencias/oficina-de-ayuda-federal-para-estudiantes
