module_name,module_type,project_key,is_child_module,parent_module,child_detection_method,present_in_codebase,enabled_runtime_drush,enabled_in_core_extension,parent_enabled_runtime,safe_to_flag_for_deletion,module_info_path
navigation,core,navigation,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/navigation/navigation.info.yml
navigation_top_bar,core,navigation,yes,navigation,path_under_canonical_project,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/navigation/modules/navigation_top_bar/navigation_top_bar.info.yml
new_relic_rpm,contrib,new_relic_rpm,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/new_relic_rpm/new_relic_rpm.info.yml
node,core,node,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/node/node.info.yml
node_menus,contrib,node_menus,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/node_menus/node_menus.info.yml
options,core,options,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/options/options.info.yml
page_cache,core,page_cache,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/page_cache/page_cache.info.yml
paragraphs,contrib,paragraphs,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/paragraphs/paragraphs.info.yml
paragraphs_demo,contrib,paragraphs,yes,paragraphs,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/paragraphs/modules/paragraphs_demo/paragraphs_demo.info.yml
paragraphs_entity_embed,contrib,paragraphs_entity_embed,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/paragraphs_entity_embed/paragraphs_entity_embed.info.yml
paragraphs_library,contrib,paragraphs,yes,paragraphs,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/paragraphs/modules/paragraphs_library/paragraphs_library.info.yml
paragraphs_type_permissions,contrib,paragraphs,yes,paragraphs,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/paragraphs/modules/paragraphs_type_permissions/paragraphs_type_permissions.info.yml
path,core,path,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/path/path.info.yml
path_alias,core,path_alias,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/path_alias/path_alias.info.yml
pathauto,contrib,pathauto,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/pathauto/pathauto.info.yml
permission_spreadsheet,contrib,permission_spreadsheet,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/permission_spreadsheet/permission_spreadsheet.info.yml
pgsql,core,pgsql,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/pgsql/pgsql.info.yml
phpass,core,phpass,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/phpass/phpass.info.yml
redirect,contrib,redirect,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/redirect/redirect.info.yml
redirect_404,contrib,redirect,yes,redirect,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/redirect/modules/redirect_404/redirect_404.info.yml
redirect_domain,contrib,redirect,yes,redirect,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/redirect/modules/redirect_domain/redirect_domain.info.yml
redis,contrib,redis,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/redis/redis.info.yml
remove_http_headers,contrib,remove_http_headers,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/remove_http_headers/remove_http_headers.info.yml
