"Page Path","Asset Type","Asset URL","Scope","Delta","Language","Theme","Include","Query"
"./html/accessibility/index.html","js","/sites/default/files/js/js_sJY3bzJs3jirGGaSNreFUENeOZtDcSGccrkIaQj9Xmc.js","footer","-","en","usagov","eJx1jUEOwjAMBD_UNH_ghsQfIjcxJpDYlZ0UldcTtVw57s6sthuQbJ6KLFCctb1kpqkfbWiyBoYtE7QsHCpy9_9ReNoYvpOF-MKUm2jI3JD0UPyJIEbRNPJ8VxmU0-_MF_jsN4F0oWsFwml46KPUVRi52XxqzhmCxscC-gXEtkrD","scope=footer&delta=0&language=en&theme=usagov&include=eJx1jUEOwjAMBD_UNH_ghsQfIjcxJpDYlZ0UldcTtVw57s6sthuQbJ6KLFCctb1kpqkfbWiyBoYtE7QsHCpy9_9ReNoYvpOF-MKUm2jI3JD0UPyJIEbRNPJ8VxmU0-_MF_jsN4F0oWsFwml46KPUVRi52XxqzhmCxscC-gXEtkrD"
"./html/accessibility/index.html","js","/modules/contrib/uswds_ckeditor_integration/js/aftermarket/uswds_accordion.js","-","-","-","-","-","sqrdwl"
"./html/accessibility/index.html","js","/sites/default/files/js/js_HIkTA9247QPrO8K9vxBNtUZ48syYleNajOmoqo58gkg.js","footer","2","en","usagov","eJx1jUEOwjAMBD_UNH_ghsQfIjcxJpDYlZ0UldcTtVw57s6sthuQbJ6KLFCctb1kpqkfbWiyBoYtE7QsHCpy9_9ReNoYvpOF-MKUm2jI3JD0UPyJIEbRNPJ8VxmU0-_MF_jsN4F0oWsFwml46KPUVRi52XxqzhmCxscC-gXEtkrD","scope=footer&delta=2&language=en&theme=usagov&include=eJx1jUEOwjAMBD_UNH_ghsQfIjcxJpDYlZ0UldcTtVw57s6sthuQbJ6KLFCctb1kpqkfbWiyBoYtE7QsHCpy9_9ReNoYvpOF-MKUm2jI3JD0UPyJIEbRNPJ8VxmU0-_MF_jsN4F0oWsFwml46KPUVRi52XxqzhmCxscC-gXEtkrD"
"./html/accessibility/index.html","js","/themes/custom/usagov/scripts/modifyMobileNav.js","-","-","-","-","-",""
"./html/accessibility-policy/index.html","css","/sites/default/files/css/css_pa5IAdGys8oKT7VGvMnFk9RNNFnySMQYZUPfv9d7uuc.css","-","-","en","usagov","eJxFjkEKxSAMRC9kmyNJNMEKGsVoi7evdfH_ZhhmhuTp1M4ZHCqboRjKDSEVh-nQPlOUYO7Ij8LWMxcaiQ1Lj31azo4JPNYei5iKDUPDeilQGxXT-U_OIXW4FPViWm8eUvsrrS-5Flk31XpspLAHx_Yfk0XKUezHwwp5UbkXq1pIPA","delta=0&language=en&theme=usagov&include=eJxFjkEKxSAMRC9kmyNJNMEKGsVoi7evdfH_ZhhmhuTp1M4ZHCqboRjKDSEVh-nQPlOUYO7Ij8LWMxcaiQ1Lj31azo4JPNYei5iKDUPDeilQGxXT-U_OIXW4FPViWm8eUvsrrS-5Flk31XpspLAHx_Yfk0XKUezHwwp5UbkXq1pIPA"
"./html/accessibility-policy/index.html","css","/modules/contrib/uswds_paragraph_components/modules/uswds_paragraph_components_cards/css/uswds-paragraph-components-cards.css","-","-","-","-","-","sqrdwl"
"./html/accessibility-policy/index.html","css","/sites/default/files/css/css_eA5ZE4Cwd6bF3HgsWSRdJp200T7y3QMxNGRo1oR5oMQ.css","-","2","en","usagov","eJxFjkEKxSAMRC9kmyNJNMEKGsVoi7evdfH_ZhhmhuTp1M4ZHCqboRjKDSEVh-nQPlOUYO7Ij8LWMxcaiQ1Lj31azo4JPNYei5iKDUPDeilQGxXT-U_OIXW4FPViWm8eUvsrrS-5Flk31XpspLAHx_Yfk0XKUezHwwp5UbkXq1pIPA","delta=2&language=en&theme=usagov&include=eJxFjkEKxSAMRC9kmyNJNMEKGsVoi7evdfH_ZhhmhuTp1M4ZHCqboRjKDSEVh-nQPlOUYO7Ij8LWMxcaiQ1Lj31azo4JPNYei5iKDUPDeilQGxXT-U_OIXW4FPViWm8eUvsrrS-5Flk31XpspLAHx_Yfk0XKUezHwwp5UbkXq1pIPA"
"./html/accessibility-policy/index.html","css","/sites/default/files/css/css_h8MbvwzFoPHon25psxDvs_qWZKIaWznJGeScqw5abGU.css","-","3","en","usagov","eJxFjkEKxSAMRC9kmyNJNMEKGsVoi7evdfH_ZhhmhuTp1M4ZHCqboRjKDSEVh-nQPlOUYO7Ij8LWMxcaiQ1Lj31azo4JPNYei5iKDUPDeilQGxXT-U_OIXW4FPViWm8eUvsrrS-5Flk31XpspLAHx_Yfk0XKUezHwwp5UbkXq1pIPA","delta=3&language=en&theme=usagov&include=eJxFjkEKxSAMRC9kmyNJNMEKGsVoi7evdfH_ZhhmhuTp1M4ZHCqboRjKDSEVh-nQPlOUYO7Ij8LWMxcaiQ1Lj31azo4JPNYei5iKDUPDeilQGxXT-U_OIXW4FPViWm8eUvsrrS-5Flk31XpspLAHx_Yfk0XKUezHwwp5UbkXq1pIPA"
"./html/accessibility-policy/index.html","js","/themes/custom/usagov/scripts/newFooter.js","-","-","-","-","-",""
"./html/accessibility-policy/index.html","js","/sites/default/files/js/js_sJY3bzJs3jirGGaSNreFUENeOZtDcSGccrkIaQj9Xmc.js","footer","-","en","usagov","eJx1jUEOwjAMBD_UNH_ghsQfIjcxJpDYlZ0UldcTtVw57s6sthuQbJ6KLFCctb1kpqkfbWiyBoYtE7QsHCpy9_9ReNoYvpOF-MKUm2jI3JD0UPyJIEbRNPJ8VxmU0-_MF_jsN4F0oWsFwml46KPUVRi52XxqzhmCxscC-gXEtkrD","scope=footer&delta=0&language=en&theme=usagov&include=eJx1jUEOwjAMBD_UNH_ghsQfIjcxJpDYlZ0UldcTtVw57s6sthuQbJ6KLFCctb1kpqkfbWiyBoYtE7QsHCpy9_9ReNoYvpOF-MKUm2jI3JD0UPyJIEbRNPJ8VxmU0-_MF_jsN4F0oWsFwml46KPUVRi52XxqzhmCxscC-gXEtkrD"
